handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_2a183db8-1d73-e7ce-8065-209b6ac1dde4,Product,Nr: 1/684 - Sjælden oval tekande Halvblonde Royal Copenhagen RC,"<p><strong>Half lace&nbsp;- Royal Copenhagen - RC - Halvblonde</strong></p><p><font face=""HelveticaNeueW01-65Medi, HelveticaNeueW02-65Medi, HelveticaNeueW10-65Medi, sans-serif""><b>Rare oval teapot&nbsp; / Sjælden oval tekande</b></font></p><p><strong>Nr: 1/684</strong></p><p><strong>Material: Porcelain / Porcelæn</strong></p><p><strong>Design: Arnold Krog</strong></p><p><strong>1.Quality&nbsp;/ 1.Sortering</strong></p><p><strong>Condition: The jug spout is glued and the top ground. Lid has a glaze flaw at the bottom, otherwise fine.&nbsp;/ Kanden tud er limet samt top slebet. Låg har en glasurfejl i bunden, ellers er den fin.</strong></p><p><strong>Dimension: H13 x 22&nbsp;cm</strong></p>",c38ac4_1f3be4f9da2b49feaebae342330708ff~mv2.jpeg;c38ac4_d95a7aa7f9224124846c1519170640de~mv2.jpeg;c38ac4_89fb8e43590441559da72a72a0c31a65~mv2.jpeg;c38ac4_d15c46a1a96a41c492c723b771f40b74~mv2.jpeg;c38ac4_ad81a2bb89db4e478de79a032269abaf~mv2.jpeg;c38ac4_83093d72cc8d415ca54c77da78ba88b8~mv2.jpeg;c38ac4_306d7a34e49f428c89c8675e0298cb49~mv2.jpeg;c38ac4_d1789c77005647fea00c344a85d82e02~mv2.jpeg;c38ac4_0a86e6d3935442be999b91ac56a6b4b3~mv2.jpeg;c38ac4_4f476dfda9f64305bc8a16aa3480680e~mv2.jpeg;c38ac4_ffac18b6eea847a8a56dad783d62a762~mv2.jpeg,Royal Copenhagen;Halvblonde,03998,,3500.0,,true,PERCENT,0.0,1,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_29de369d-8e1d-4a4d-9c04-498b3a9170ca,Product,Nr:1A/315 - 1A/2238- Stor Tekop Grøn musselmalet Royal Copenhagen RC,"<p><strong>Green fluted - Royal Copenhagen - RC - Grøn musselmalet</strong></p><p><strong><span style=""font-family: var(--wix-font-stack,&quot;HelveticaNeueW01-55Roma&quot;,&quot;HelveticaNeueW02-55Roma&quot;,&quot;HelveticaNeueW10-55Roma&quot;,sans-serif);"">Large Teacup&nbsp;, saucer second number /&nbsp;</span>Stor Tekop, underkop andet nummer</strong></p><p><strong>Nr: 1A/315 - 1A/2238</strong></p><p><strong>Material: Porcelain / Porcelæn</strong></p><p><strong>Design:&nbsp;Arne Jakobsen</strong></p><p><strong>1.Quality / 1.Sortering<br>Condition: No chips or cracks /&nbsp;Ingen skår eller revner</strong></p><p><strong>Cup / Kop: 10.4 cm</strong></p>",c38ac4_6ae2fe1708ac4dc0a6da0af9fe78bb5c~mv2.jpeg;c38ac4_3a8b58c29ece481197ae6ea7bdd8fb00~mv2.jpeg;c38ac4_b34fff1d9b314ec7a8203a0d04aee71a~mv2.jpeg;c38ac4_8664231a5da74053a28b81d1be5fe892~mv2.jpeg;c38ac4_8e6d75078da442ad8a1d35d7e6870df4~mv2.jpeg,Royal Copenhagen;Grøn Musselmalet,03179,,3500.0,,true,PERCENT,0.0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_3fb6fa83-b63d-4b28-3158-864b512cad22,Product,Nr: 1206 - Dreng giver hund sukkerknald​​​​​​​ Dahl Jensen,"<p><strong><span style=""background-color: transparent;"">Dahl Jensen</span></strong></p><p><strong>Dreng giver hund sukkerknald</strong></p><p><strong>Nr: 1206</strong></p><p><strong>Material: Porcelain / Porcelæn</strong></p><p><strong>Design:&nbsp;Jens Peter Dahl Jensen</strong></p><p><strong>1.Quality / 1.Sortering</strong></p><p><strong>Condition:&nbsp;No chip or cracks&nbsp;/ Ingen skår eller revner</strong></p><p><strong>Height / Højde: 27.5 cm</strong></p>",c38ac4_c8fd5e7d7961440ab4aeaf11f5d19516~mv2.jpeg;c38ac4_77b8a24e21204d08854e46b5a4e957b2~mv2.jpeg;c38ac4_127fda0540e6419fa9d7047ffb153870~mv2.jpeg;c38ac4_c2cb80c837f640d5968d0622c491fcc5~mv2.jpeg;c38ac4_b1e2311715624cbdb57a281d64f25d93~mv2.jpeg,Figur;Dahl Jensen;Menneskelig figur,03997,,4600.0,,true,PERCENT,0.0,1,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_1babb7cb-b53b-a895-089e-959d0e094191,Product,Nr: 493 - Termokop - Udgået - Blå Mega Royal Copenhagen RC,<p><strong>Blå Mega -&nbsp;Royal Copenhagen - RC&nbsp;</strong></p><p><strong>Termokop -&nbsp;Udgået</strong></p><p><strong>Nr: 493</strong></p><p><strong>Material: Porcelain / Porcelæn</strong></p><p><strong>Design:&nbsp;Karen Kjældgård-Larsen</strong></p><p><strong>3.Quality / 3.Sortering&nbsp;</strong></p><p><strong>Condition: No chips or cracks / Ingen skår eller revner</strong></p><p><strong>Height / Højde: 6 cm</strong></p>,c38ac4_9445a10bc41e444a924f9f35cb3aef41~mv2.jpeg;c38ac4_47f3bdba5eb24923a048254b02c79686~mv2.jpeg;c38ac4_949dec9ff47a4caa9d33ee52c84e5db8~mv2.jpeg,Royal Copenhagen;Mega,03996,,800.0,,true,PERCENT,0.0,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_64ad955e-d42f-5542-b688-2b7d3577499a,Product,Nr: 453 - Termo skål - Stor - Blå Mega Royal Copenhagen RC,<p><strong>Blå Mega - Royal Copenhagen - RC</strong></p><p><strong>Termo skål - Stor Udgået</strong></p><p><strong>Nr: 453</strong></p><p><strong>Material: Porcelain / Porcelæn</strong></p><p><strong>Design:&nbsp;Karen Kjældgård-Larsen</strong></p><p><strong>3.Quality&nbsp;/ 3.Sortering</strong></p><p><strong>Condition:&nbsp;No chip or cracks / Ingen skår eller revner</strong></p><p><strong>Dimension: 22.5 x H9.5 cm</strong></p>,,Mega;Royal Copenhagen,00796,,1700.0,,false,PERCENT,0.0,0,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_4d39580a-331d-5966-63f3-9d26dd1d2ddc,Product,Nr: 452 - Termo skål - Mellem - Blå Mega Royal Copenhagen RC,<p><strong>Blå Mega - Royal Copenhagen - RC</strong></p><p><strong>Termo skål - Mellem Udgået</strong></p><p><strong>Nr: 452</strong></p><p><strong>Material: Porcelain / Porcelæn</strong></p><p><strong>Design:&nbsp;Karen Kjældgård-Larsen</strong></p><p><strong>3.Quality&nbsp;/ 3.Sortering</strong></p><p><strong>Condition:&nbsp;No chip or cracks / Ingen skår eller revner</strong></p><p><strong>Dimension: 16.5 x H8.5 cm</strong></p>,c38ac4_ad78b829b85e4cd78e60e0ba81e0b93b~mv2.jpeg;c38ac4_1d8217f34ccf4718bfc43fad20b2b022~mv2.jpeg;c38ac4_4e2ce91119364f5996b03d191b974d53~mv2.jpeg;c38ac4_747ec1c2ad014e8fbdb6dc3e34eaab52~mv2.jpeg,Mega;Royal Copenhagen,03995,,1300.0,,true,PERCENT,0.0,1,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_c293e379-9219-caab-fc13-e0d1009a2b1a,Product,Nr: 451 - Termo skål - lille - Blå Mega  Royal Copenhagen RC,<p><strong>Blå Mega - Royal Copenhagen - RC</strong></p><p><strong>Termo skål - Lille&nbsp;Udgået</strong></p><p><strong>Nr: 451</strong></p><p><strong>Material: Porcelain / Porcelæn</strong></p><p><strong>Design:&nbsp;Karen Kjældgård-Larsen</strong></p><p><strong>3.Quality&nbsp;/ 3.Sortering</strong></p><p><strong>Condition:&nbsp;No chip or cracks / Ingen skår eller revner</strong></p><p><strong>Dimension: 15.5 x H7.5 cm</strong></p>,c38ac4_bc763500d36543b1bd967026f98b066f~mv2.jpeg;c38ac4_80bdd7b6425e4eb883e76bad36dae851~mv2.jpeg;c38ac4_40e4e2f767024d79babb6ca241c4001b~mv2.jpeg;c38ac4_c48adc3d30644ffe87cf66d1b0d8c34e~mv2.jpeg,Mega;Royal Copenhagen,03994,,1100.0,,true,PERCENT,0.0,1,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_d8035da2-5c94-1de4-f3c6-77f8e1db5421,Product,Nr: 10/1503 - Smørkrukke Blå Blomst Svejfet Royal Copenhagen RC,<p><strong>Blå Blomst Svejfet -&nbsp;Royal Copenhagen - RC</strong></p><p><strong>Butter jar / Smørkrukke</strong></p><p><strong>Nr: 10/1503</strong></p><p><strong>Material: Porcelain / Porcelæn</strong></p><p><strong>Design:&nbsp;Arnold Krog</strong></p><p><strong>1.Quality&nbsp;/ 1.Sortering</strong></p><p><strong>Condition:&nbsp;No chip or cracks / Ingen skår eller revner</strong></p><p><strong>Dimension: H10.5 x 17.5 cm</strong></p>,c38ac4_2c1f02a254434a019181af5309d5fb31~mv2.jpeg;c38ac4_4cc68609c5f142e0be30229f51ebcc20~mv2.jpeg;c38ac4_db6914e092ce49cf88bbc997bab5e69e~mv2.jpeg;c38ac4_831d3d3d643a4fefacf1cc70ba38f456~mv2.jpeg,Royal Copenhagen;Blå Blomst,03993,,1200.0,,true,PERCENT,0.0,1,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_5ca6535e-bb14-92c3-0704-a2dc818af741,Product,Nr: 42 / 347 - Muslingeformet Asiet Bing og Grøndahl B&G,"<p><strong>Bing og Grøndahl - B&amp;G</strong></p><p><strong>Muslingeformet Asiet</strong></p><p><strong>Nr: 42 / 347</strong></p><p><strong><span style=""background-color: transparent;"">Materiale: Porcelæn</span></strong></p><p><strong>2.Sortering<br>Stand: Ingen skår eller revner</strong></p><p><strong>Mål: 17 x 17 x H5 cm</strong></p>",c38ac4_6fb8163c8091444e93bfde66a92f9b9b~mv2.jpeg;c38ac4_24ab665f63e44ffea30ce7fbbd8c5783~mv2.jpeg;c38ac4_7bb6b0f3981d47abae936de79b1b5947~mv2.jpeg,B&G,03992,,400.0,,true,PERCENT,0.0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_9ee40a38-8a73-b10c-b285-a91ac7354d28,Product,Nr: 249 / 501 - Lysestage Bing og Grøndahl B&G,<p><strong>Bing og&nbsp;Grøndahl - B&amp;G</strong></p><p><strong>Lysestage</strong></p><p><strong>Nr: 249 / 501</strong></p><p><strong>Materiale: Porcelæn</strong></p><p><strong>2.Sortering<br>Stand: Ingen skår eller revner</strong></p><p><strong>Mål: H4.5 x 11 cm</strong></p>,c38ac4_f532bf4f270f406fa4d1e275190c976e~mv2.jpeg;c38ac4_6705d96397b046ae94682d0634defe13~mv2.jpeg;c38ac4_21ecbf40802f4da293aa837c555234a0~mv2.jpeg,B&G,03991,,300.0,,true,PERCENT,0.0,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
